,Average Temperature,Maximum temperature,Minimum temperature,Atmospheric pressure at sea level,Average relative humidity,Total rainfall and / or snowmelt,Average visibility,Average wind speed,Maximum sustained wind speed,PM2.5 AQI Value,AQI Category
0,-16.9,-3.9,-20.6,1007.6,84,0.25,16.1,1.1,9.4,79.0,Moderate
6,-11.2,-4,-16,983.1,75,0,16.1,12.2,22.2,66.0,Moderate
12,-16.1,-11.7,-20,998.8,86,0,16.1,0.6,9.4,93.0,Moderate
18,-0.2,3,-3,985.5,67,0,16.1,6.9,14.8,51.0,Moderate
24,-7.9,-6,-9.4,1007.9,81,0,16.1,3.1,11.1,80.0,Moderate
30,-18.4,-11,-23,997,79,0,16.1,1.7,9.4,77.0,Moderate
34,-20.1,-14,-26,1009.5,79,0.76,13,0.4,5.4,78.0,Moderate
40,-13.6,-8.9,-18.3,1015,83,0.76,16.1,5.4,14.8,40.0,Good
46,-15.2,-9,-18,1029.2,85,0,16.1,0.7,5.4,87.0,Moderate
52,-9.6,-6,-13.3,1026.2,85,2.03,13.7,0,-,66.0,Moderate
58,-1.6,2.2,-6,976.2,63,0.76,16.1,14.3,25.9,29.0,Good
62,-12.7,-1.1,-20,999.1,76,0,16.1,1.3,7.6,71.0,Moderate
68,-9.4,1,-17,1016.1,71,0.76,16.1,8,18.3,51.0,Moderate
74,-7.8,2.8,-14.4,1012.3,77,0,16.1,9.4,16.5,61.0,Moderate
80,-20.6,-10,-31.7,1033.3,51,0.76,16.1,2.2,11.1,62.0,Moderate
86,-8.8,-2,-14,998.7,58,0,16.1,17.6,29.4,39.0,Good
93,-13.4,-6.7,-25,1019.1,54,0,16.1,11.3,31.3,36.0,Good
99,0.4,4.4,-11.7,1010.9,63,0.76,16.1,7.6,16.5,21.0,Good
105,0.4,7.2,-5.6,1010.8,70,0,16.1,4.1,13,28.0,Good
111,-1.7,5,-6.1,1019.8,52,0,16.1,17,29.4,35.0,Good
117,1.6,10.6,-3.3,1005.6,51,0,16.1,14.6,24.1,25.0,Good
124,2.2,7.2,-3.9,996.9,62,0.76,13.2,7.4,20.6,27.0,Good
130,6.8,12.2,-2.8,1007.2,43,0,16.1,6.5,18.3,30.0,Good
136,6.4,11,1,1007.5,51,0,16.1,8.7,16.5,31.0,Good
142,9.8,17,2,1013.8,-,0,16.1,10.7,18.3,24.0,Good
148,7.6,13,1,1021.8,62,1.52,16.1,12.2,25.9,19.0,Good
154,11.9,17.2,5.6,1012.7,56,0,16.1,7.2,18.3,19.0,Good
158,16.9,23.3,6.1,1005.2,38,0,16.1,18.3,24.1,9.0,Good
164,13.2,20,5.6,1015.9,59,0,16.1,8.3,14.8,19.0,Good
170,12.7,18.3,6.7,1026.4,59,1.52,16.1,9.6,20.6,13.0,Good
176,19.2,26,9,1011.6,36,0,16.1,15.9,25.9,25.0,Good
182,15.9,23.3,10.6,1021.9,60,0.51,15.6,10.7,18.3,31.0,Good
189,17.6,23,11.7,1014.5,68,1.52,15.8,7,11.1,48.0,Good
195,10.3,16.1,4.4,1014.9,78,0.51,16.1,7.2,13,15.0,Good
201,16.8,24.4,10,1014.1,69,0.76,16.1,9.6,14.8,15.0,Good
207,18.8,25,13.9,1010,75,8.89,16.1,8.5,14.8,16.0,Good
213,14.3,18.9,11.7,1016.8,80,1.78,15.8,9.3,16.5,14.0,Good
220,14.9,20,8,1012.2,69,0,16.1,9.3,18.3,18.0,Good
226,15.6,23.3,7.2,1024.3,66,0,16.1,9.6,22.2,31.0,Good
232,15.7,22.8,11.1,1012,81,-,15,10.7,29.4,18.0,Good
238,16.4,23.9,10,997,63,0,16.1,9.4,14.8,22.0,Good
244,13.2,20,6.7,1000.6,77,0.51,15.8,7.8,14.8,21.0,Good
251,11.7,19.4,3.9,993.1,68,0.25,16.1,8.9,22.2,23.0,Good
257,8.8,14,5,1012.9,70,0.76,16.1,9.6,22.2,18.0,Good
263,9.2,18.3,2.2,994.4,64,-,16.1,7.8,16.5,29.0,Good
269,7.1,16,1,1010.6,76,0,16.1,6.3,7.6,36.0,Good
275,5.2,16,1,994.2,63,0,16.1,6.3,9.4,33.0,Good
283,2.8,7.2,-1.1,1012.5,92,0.25,12.2,8.7,13,36.0,Good
288,4.1,7.2,2,1002.2,91,2.03,15.4,7.6,13,28.0,Good
294,-7,-3,-12.2,1016.6,86,1.78,12.2,8.1,14.8,43.0,Good
300,-5.4,-2.2,-8.3,1012,60,0,16.1,13.7,24.1,15.0,Good
306,-11.9,-6.7,-16.1,1022.6,82,1.52,15.3,7.4,9.4,63.0,Moderate
312,-19.6,-11.1,-25.6,999.5,83,1.52,15.6,5.6,9.4,78.0,Moderate
316,-12.1,-7.8,-18.3,997.3,87,0.76,16.1,7.4,11.1,62.0,Moderate
322,-22.9,-11.7,-27.8,1006.6,80,0,16.1,6.5,7.6,96.0,Moderate
328,-16.1,-13.3,-20.6,993.8,86,2.03,11.7,-,-,30.0,Good
334,-15.5,-8.3,-20.6,994,86,0,14.5,-,-,131.0,Unhealthy for Sensitive Groups
340,-25.4,-20.6,-27.2,1031.3,78,0,16.1,-,-,120.0,Unhealthy for Sensitive Groups
347,-32.8,-30,-34.4,1005.3,70,0,11.7,-,-,133.0,Unhealthy for Sensitive Groups
359,-29.4,-28,-33,1005.4,73,1.52,14.6,5.9,9.4,62.0,Moderate
363,-33.5,-27,-39,1010.5,-,2.03,6.4,-,-,118.0,Unhealthy for Sensitive Groups
364,-32.4,-18,-41,999.2,-,0.25,12.6,6.3,11.1,92.0,Moderate
365,-16.8,-8,-23,982.4,83,0.25,16.1,7.4,11.1,74.0,Moderate
369,-26.9,-16,-31,1008.7,75,0,16.1,6.7,7.6,85.0,Moderate
370,-6.8,4,-16.1,1002.6,75,0,16.1,8.7,16.5,41.0,Good
371,-2.4,5.6,-13.9,997.2,74,0,16.1,9.8,14.8,80.0,Moderate
376,-17.6,-9.4,-20.6,1001.5,79,0,16.1,10,16.5,73.0,Moderate
382,-12.8,-10.6,-17.2,984.9,86,1.52,15,7.2,13,47.0,Good
388,-13.6,-0.6,-22.2,1012.1,77,0,16.1,8.3,13,60.0,Moderate
394,-10.4,-5,-13.3,1003.9,89,1.78,10,9.3,18.3,15.0,Good
400,-37.8,-32,-41.1,1028.1,-,0,6.6,-,-,120.0,Unhealthy for Sensitive Groups
407,-21.9,-13.3,-29.4,1007.6,81,0.76,16.1,10.4,18.3,112.0,Unhealthy for Sensitive Groups
413,-21.9,-18,-27,1007.8,81,0,16.1,1.7,7.6,88.0,Moderate
419,-14.4,-5,-24.4,999.1,79,2.03,15,8.9,24.1,55.0,Moderate
425,-19.2,-17,-21,1005.9,79,0.25,10.8,0,-,48.0,Good
431,-17.9,-6.1,-26.7,1021.7,74,0,16.1,0.9,11.1,79.0,Moderate
438,-5.6,-2.2,-12.2,1034.5,81,2.03,16.1,9.6,22.2,52.0,Moderate
444,-12.4,-1,-24,1032.3,56,0,16.1,14.3,25.9,27.0,Good
450,-16.2,-2.2,-27.8,1032.9,53,0,16.1,3.9,9.4,58.0,Moderate
456,-7.4,2,-18,1036,53,0.76,16.1,4.3,9.4,47.0,Good
462,-6.7,1.7,-9.4,1000.4,85,0.76,5,5.2,9.4,18.0,Good
469,-12.9,-3.9,-23.3,1040.6,47,0,16.1,2.8,11.1,53.0,Moderate
475,-8.3,1.1,-17.8,1021.8,48,0,16.1,2.2,14.8,48.0,Good
480,-8.7,-3,-13,1012,51,3.05,16.1,4.3,9.4,26.0,Good
481,-3.5,0,-13.3,1004.3,85,1.27,7.2,3.9,18.3,21.0,Good
487,-1.2,4.4,-3.9,1010.6,94,2.03,9.8,1.3,11.1,26.0,Good
493,2.6,8,0,1020.4,71,8.13,8,15.6,38.9,12.0,Good
500,0.4,6.1,-3.3,1029.5,73,1.02,12.4,10,27.8,16.0,Good
506,6.4,11,3,1020.9,68,0.25,16.1,8.7,14.8,14.0,Good
512,10.9,16.1,1.7,1013.3,40,0,15.9,9.6,24.1,20.0,Good
518,18.7,26,9,1021.9,27,0,16.1,10.7,24.1,34.0,Good
524,-,-,-,-,-,-,-,-,-,32.0,Good
528,-,-,-,-,-,-,-,-,-,135.0,Unhealthy for Sensitive Groups
531,14.3,19,11,1010.7,64,-,16.1,6.5,16.5,38.0,Good
537,17.4,24.4,8.3,1016.8,49,0,16.1,5.6,13,29.0,Good
543,13.7,20,10,1024.5,73,1.78,16.1,8,18.3,15.0,Good
549,-,-,-,-,-,-,-,-,-,86.0,Moderate
555,17.8,21.7,12.8,999,59,1.02,16.1,9.8,16.5,42.0,Good
562,16.4,21.7,8.9,1007.9,61,1.02,14.2,8.7,20.6,33.0,Good
568,16.2,22,10,1014.5,66,0.25,16.1,8.3,16.5,31.0,Good
574,16.9,22.2,10.6,1012.9,65,0.76,16.1,5.9,25.9,19.0,Good
580,19.2,28,14,1011.3,66,0.25,16.1,6.5,20.6,22.0,Good
586,16.9,22.2,13,1007.6,78,5.84,12.9,18,22.2,16.0,Good
592,18.8,24,13,1030.3,48,0,16.1,7.8,18.3,17.0,Good
596,20.3,28,13,1023.2,54,0,16.1,5.2,11.1,55.0,Moderate
602,11.6,15,8.9,1011.7,82,1.78,4.7,6.7,14.8,118.0,Unhealthy for Sensitive Groups
608,9.9,17.8,2.8,1026.9,68,0,14.2,6.3,24.1,77.0,Moderate
614,10.8,16.1,2.8,996.2,71,3.05,15,14.8,18.3,8.0,Good
620,12.9,19.4,4.4,1014.2,69,0.76,16.1,2.6,7.6,27.0,Good
627,10.1,16.1,4.4,1021.5,76,0,16.1,6.9,16.5,26.0,Good
633,8.9,14,4,999.6,81,0,16.1,2.6,9.4,24.0,Good
639,11.1,18.3,4.4,993.7,61,0,16.1,6.7,13,15.0,Good
645,2.2,7.8,0,1022,82,0.51,14.8,5,20.6,18.0,Good
651,9.7,16.1,3.9,1006.2,72,6.1,15.4,6.9,14.8,54.0,Moderate
658,5.2,8.9,2.8,1011.8,78,1.78,15.4,12.6,20.6,13.0,Good
664,2.2,5,-1.1,1002.3,85,3.05,12.6,15.4,37,10.0,Good
670,1.2,7.2,-3.9,1015.6,73,0,16.1,9.4,14.8,28.0,Good
676,-5.8,-4,-7,995.3,90,2.79,15.3,3.1,11.1,22.0,Good
683,-1.7,7.2,-5,1007.2,90,0,16.1,1.1,5.4,45.0,Good
689,-2.8,2.2,-7.2,1022.8,91,0,16.1,2.4,7.6,69.0,Moderate
701,-13.2,-6.1,-16.7,1000.9,84,0,16.1,2.2,7.6,59.0,Moderate
707,-8.3,-5.6,-16.1,992.1,73,0,16.1,11.1,18.3,77.0,Moderate
713,-8.5,-5.6,-12,1011.1,87,0,16.1,3.5,9.4,73.0,Moderate
720,-0.6,3.3,-2.8,1013.8,92,0,13.4,1.3,7.6,57.0,Moderate
726,-9.4,-4.4,-12.2,1008.6,90,0,12.4,0.7,5.4,68.0,Moderate
732,-10.3,-8.9,-19.4,979.2,89,0.51,8.5,0,-,54.0,Moderate
744,-17.9,-13.3,-23.3,997.3,84,1.02,8.9,0,-,41.0,Good
750,-29.6,-25.6,-34.4,996.7,69,0,5.5,0,-,48.0,Good
753,-28,-22,-33,991.8,74,0,15.4,0.2,5.4,100.0,Moderate
759,-21.8,-16,-27,1023.3,79,0,16.1,2.8,18.3,77.0,Moderate
765,-19.9,-13.9,-23.3,1019.4,82,0,15.4,1.1,7.6,84.0,Moderate
771,-10.5,-8.3,-13,1032.2,85,0,16.1,2.2,7.6,56.0,Moderate
777,-26.3,-17.2,-30.6,1002.8,76,0,16.1,2.8,9.4,82.0,Moderate
784,-20.7,-13.3,-23.3,1003.1,82,0,16.1,0.2,5.4,94.0,Moderate
790,-3.8,1.1,-9.4,1019.6,87,0.25,16.1,2,9.4,58.0,Moderate
796,-14.4,-11.1,-16.1,1023,70,-,13.4,17,20.6,28.0,Good
802,-22.6,-10.6,-30,1015.1,67,0,16.1,7.4,14.8,64.0,Moderate
808,-11.9,-3,-17,1007.1,87,0.25,15.6,0.7,7.6,74.0,Moderate
812,-8.9,-0.6,-16.1,1006.1,86,0,15.4,1.1,7.6,52.0,Moderate
818,-13.9,-4.4,-22.2,1034.6,66,0,16.1,4.4,11.1,45.0,Good
824,-20.8,-15.6,-31.1,1011.2,42,0,16.1,26.3,33.5,30.0,Good
830,-13.3,-1.1,-21.7,1007.1,75,0,16.1,3.5,11.1,65.0,Moderate
836,-10.3,-3,-16,1011.8,68,0,16.1,5.2,14.8,47.0,Good
842,-15.3,-7.8,-24.4,1019.8,61,0,15.6,4.6,18.3,27.0,Good
846,-11.7,-4,-20,1017.5,49,0,16.1,3.5,11.1,32.0,Good
852,-4,5,-16.1,1000.5,51,0,16.1,12,22.2,28.0,Good
858,1.7,7,-2.2,1004.7,62,0,16.1,6.9,13,25.0,Good
864,5.9,12.2,-1.6,1004.4,47,0,16.1,4.8,14.8,28.0,Good
870,11.6,20,0.6,1018.3,49,0,16.1,4.4,16.5,33.0,Good
877,5.2,11.7,0.6,1024.6,41,0,16.1,24.3,31.3,18.0,Good
883,10.9,16,4,1012.6,46,0,16.1,8.5,18.3,36.0,Good
889,8,13.3,0.6,1005.7,48,0,16.1,12.6,24.1,21.0,Good
895,8.7,14.4,1,1017.1,53,0,16.1,9.8,22.2,42.0,Good
901,11.9,18.9,3.9,1009.4,51,0,16.1,10.9,25.9,24.0,Good
908,10.8,14,6,1016,63,0,16.1,13,29.4,13.0,Good
914,12.1,18.9,6.7,1022.2,67,1.78,16.1,8,24.1,11.0,Good
920,14.6,20,8.9,1001.1,32,0,16.1,15.7,27.8,19.0,Good
926,17.6,23,11.7,1007.4,36,0,16.1,10.7,20.6,1.0,Good
932,15.1,21.1,8.9,1009.4,54,0,16.1,7.2,18.3,20.0,Good
939,18,25.6,13,998.6,73,0.25,15.8,8.3,31.3,14.0,Good
945,17.1,26.1,10.6,1016.5,63,0,16.1,8.3,22.2,25.0,Good
951,16.8,22.2,13.9,1008.3,86,3.3,13.4,7.6,13,31.0,Good
957,19.9,28.3,7.8,1013.6,43,0,16.1,4.1,13,29.0,Good
963,15.6,21.1,11.1,1006.6,70,17.78,13.7,13.3,18.3,4.0,Good
970,9.8,13,6,1020,71,1.27,16.1,7.6,27.8,11.0,Good
976,14.4,23,6,1019,66,0.25,15.8,10.6,35.2,28.0,Good
982,15.2,20,12,1002.9,79,2.03,15.9,10.2,31.3,12.0,Good
988,11.8,18.3,5,1012.8,69,0.25,16.1,3.1,9.4,16.0,Good
1000,13.7,19.4,10.6,1006.8,80,5.33,14,9.1,16.5,9.0,Good
