Date,Average Temperature,Maximum temperature,Minimum temperature,Atmospheric pressure at sea level,Average relative humidity,Total rainfall and / or snowmelt,Average visibility,Average wind speed,Maximum sustained wind speed,Maximum speed of wind,Rain,Snow,Thunderstorm,Fog,PM2.5 AQI Value,AQI Category
1/1/01,-16.9,-3.9,-20.6,1007.6,84,0.25,16.1,1.1,9.4,-,,o,,,79,Moderate
2/1/01,-16.6,-14,-20,1008.3,82,2.03,16.1,1.7,7.6,-,,o,,o,,
3/1/01,-15,-12,-21,996.1,75,0.76,14.3,11.1,24.1,33.5,,o,,,,
4/1/01,,,,,,,,,,,,o,,,59,Moderate
5/1/01,,,,,,,,,,,,o,,,,
6/1/01,,,,,,,,,,,,,,,,
7/1/01,-11.2,-4,-16,983.1,75,0,16.1,12.2,22.2,-,,,,,66,Moderate
8/1/01,-9.4,-1.7,-18.3,969.8,81,0,16.1,7.4,18.3,-,,,,,,
9/1/01,-18.1,-16,-22,988,81,-,16.1,2.8,16.5,-,,o,,,,
10/1/01,,,,,,,,,,,,o,,,42,Good
11/1/01,,,,,,,,,,,,o,,,,
12/1/01,,,,,,,,,,,,,,,,
13/01/2001,-16.1,-11.7,-20,998.8,86,0,16.1,0.6,9.4,-,,,,,93,Moderate
14/01/2001,-11.6,2.8,-20,1002.5,81,0,16.1,4.1,14.8,-,,,,,,
15/01/2001,2.5,6,-1,989.4,61,0,16.1,14.3,27.8,44.3,,,,,,
16/01/2001,,,,,,,,,,,o,o,,,64,Moderate
17/01/2001,,,,,,,,,,,,,,,,
18/01/2001,,,,,,,,,,,,,,,,
19/01/2001,-0.2,3,-3,985.5,67,0,16.1,6.9,14.8,-,,,,,51,Moderate
20/01/2001,-11.4,2.8,-16.7,999.9,88,0,16.1,2.4,7.6,-,,,,,,
21/01/2001,-15.4,-8.3,-18.9,996.5,86,0,16.1,3.1,9.4,-,,,,,,
22/01/2001,,,,,,,,,,,,,,,83,Moderate
23/01/2001,,,,,,,,,,,,o,,,,
24/01/2001,,,,,,,,,,,,,,,,
25/01/2001,-7.9,-6,-9.4,1007.9,81,0,16.1,3.1,11.1,-,,,,,80,Moderate
26/01/2001,-8.9,-2.2,-15,1006.3,83,0,16.1,2.2,9.4,-,,,,,,
27/01/2001,-6.8,1,-12,995.3,80,-,15.6,3,14.8,-,,o,,,,
28/01/2001,,,,,,,,,,,,o,,,44,Good
29/01/2001,,,,,,,,,,,,o,,,,
30/01/2001,,,,,,,,,,,,,,o,,
31/01/2001,-18.4,-11,-23,997,79,0,16.1,1.7,9.4,-,,,,o,77,Moderate
00/01/2001,-12.9,-6.1,-18.6,999.5,80.6,15.23,15.3,4.6,13.2,,1,13,0,3,,
1/2/01,-13.3,-7.8,-23.3,990.1,84,0.76,14.6,1.3,7.6,-,,o,,,,
2/2/01,-20.6,-8.3,-27.2,1003,80,2.03,15.9,0.7,5.4,-,,o,,,,
3/2/01,-20.1,-14,-26,1009.5,79,0.76,13,0.4,5.4,-,,o,,,78,Moderate
4/2/01,,,,,,,,,,,,,,,,
5/2/01,,,,,,,,,,,,,,,,
6/2/01,,,,,,,,,,,,,,o,83,Moderate
7/2/01,-10.6,-5,-21.1,1020.7,89,-,14.6,0.7,5.4,-,,o,,,,
8/2/01,-10.4,-8.9,-15.6,1023.1,83,0.76,15.6,4.3,16.5,-,,o,,,,
9/2/01,-13.6,-8.9,-18.3,1015,83,0.76,16.1,5.4,14.8,-,,o,,,40,Good
10/2/01,,,,,,,,,,,,o,,,,
11/2/01,,,,,,,,,,,,o,,,,
12/2/01,,,,,,,,,,,,o,,,56,Moderate
13/02/2001,-13.6,-5,-22.8,1029.9,88,2.79,7.7,1.9,9.4,-,,o,,o,,
14/02/2001,-19.7,-11.1,-27.2,1034.8,82,0,16.1,1.3,7.6,-,,,,o,,
15/02/2001,-15.2,-9,-18,1029.2,85,0,16.1,0.7,5.4,-,,,,,87,Moderate
16/02/2001,,,,,,,,,,,,,,,,
17/02/2001,,,,,,,,,,,,,,,,
18/02/2001,,,,,,,,,,,,,,,106,Unhealthy for Sensitive Groups
19/02/2001,-19.7,-8.9,-26.1,1014.6,81,0,16.1,0,-,-,,,,,,
20/02/2001,-18.2,-10,-26.1,1017.6,81,0,16.1,0.4,5.4,-,,,,,,
21/02/2001,-9.6,-6,-13.3,1026.2,85,2.03,13.7,0,-,-,,o,,,66,Moderate
22/02/2001,,,,,,,,,,,,o,,o,,
23/02/2001,,,,,,,,,,,,o,,o,,
24/02/2001,,,,,,,,,,,,o,,,55,Moderate
25/02/2001,-21,-13.3,-29.4,1010.5,57,0,16.1,17.6,24.1,-,,,,,,
26/02/2001,-8.8,-3,-17.2,990.4,70,0,16.1,8,20.6,-,,,,,,
27/02/2001,-1.6,2.2,-6,976.2,63,0.76,16.1,14.3,25.9,37,,,,,29,Good
28/02/2001,,,,,,,,,,,,o,,,,
00/02/2001,-13.1,-7,-20,1014.8,81,31.71,14.2,3.6,11.5,,0,15,0,5,,
1/3/01,-12.7,0.6,-17.8,998.4,72,0,16.1,4.4,13,-,,,,,,
2/3/01,-12.7,-1.1,-20,999.1,76,0,16.1,1.3,7.6,-,,,,,71,Moderate
3/3/01,-17.6,-7,-24,1005.1,78,0,16.1,0.2,5.4,-,,,,,,
